timestamp,temperature,humidity
2026-08-24 15:52:59.266503,28.0,42.0
2026-08-24 15:53:00.284603,28.0,42.0
2026-08-24 15:53:02.309454,28.0,42.0
2026-08-24 15:53:04.334336,28.0,42.0
2026-08-24 15:53:06.359256,28.0,42.0
2026-08-24 15:53:08.384215,28.0,42.0
2026-08-24 15:53:10.409094,28.0,42.0
2026-08-24 15:53:12.433993,28.0,42.0
2026-08-24 15:53:14.458891,28.0,42.0
2026-08-24 15:53:16.483780,28.0,42.0
2026-08-24 15:53:18.508709,28.0,42.0
2026-08-24 15:53:20.533603,28.0,42.0
2026-08-24 15:53:22.558517,28.0,42.0
2026-08-24 15:53:24.583441,28.0,42.0
2026-08-24 15:53:26.608326,28.0,42.0
2026-08-24 15:53:28.633271,28.0,42.0
2026-08-24 15:53:30.658156,28.0,42.0
2026-08-24 15:53:32.683025,28.0,42.0
2026-08-24 15:53:34.707968,28.0,42.0
2026-08-24 15:53:36.732960,28.0,42.0
2026-08-24 15:53:38.757801,28.0,42.0
2026-08-24 15:53:40.782620,28.0,42.0
2026-08-24 15:53:42.807566,28.0,42.0
2026-08-24 15:53:44.832482,28.0,42.0
2026-08-24 15:53:46.857632,28.0,42.0
2026-08-24 15:53:48.882262,28.0,42.0
2026-08-24 15:53:50.907280,28.0,42.0
2026-08-24 15:53:52.932147,28.0,42.0
2026-08-24 15:53:54.957011,28.0,42.0
2026-08-24 15:53:56.981875,28.0,42.0
2026-08-24 15:53:59.006886,28.0,42.0
2026-08-24 15:54:01.031713,28.0,42.0
2026-08-24 15:54:03.056677,28.0,42.0
2026-08-24 15:54:05.081631,28.0,42.0
2026-08-24 15:54:07.106501,28.0,42.0
2026-08-24 15:54:09.131391,28.0,42.0
2026-08-24 15:54:11.156349,28.0,42.0
2026-08-24 15:54:13.181182,28.0,42.0
2026-08-24 15:54:15.206078,28.0,42.0
2026-08-24 15:54:17.231020,28.0,42.0
2026-08-24 15:54:19.255962,28.0,42.0
2026-08-24 15:54:21.280837,28.0,42.0
2026-08-24 15:54:23.305749,28.0,42.0
2026-08-24 15:54:25.330581,28.0,42.0
2026-08-24 15:54:27.355583,28.0,42.0
2026-08-24 15:54:29.380550,28.0,42.0
2026-08-24 15:54:31.405448,28.0,42.0
2026-08-24 15:54:33.430329,28.0,42.0
2026-08-24 15:54:35.455197,28.0,42.0
2026-08-24 15:54:37.480102,28.0,42.0
2026-08-24 15:54:39.504981,28.0,42.0
2026-08-24 15:54:41.529877,28.0,42.0
2026-08-24 15:54:43.554822,28.0,42.0
2026-08-24 15:54:45.579684,28.0,42.0
2026-08-24 15:54:47.604632,28.0,42.0
2026-08-24 15:54:49.629518,28.0,42.0
2026-08-24 15:54:51.654421,28.0,42.0
2026-08-24 15:54:53.679351,28.0,42.0
2026-08-24 15:54:55.704262,28.0,42.0
2026-08-24 15:54:57.729175,28.0,42.0
2026-08-24 15:54:59.754046,28.0,42.0
2026-08-24 15:55:01.778949,28.0,42.0
2026-08-24 15:55:03.803907,28.0,42.0
2026-08-24 15:55:05.828785,28.0,42.0
2026-08-24 15:55:07.853655,28.0,42.0
2026-08-24 15:55:09.878641,28.0,42.0
2026-08-24 15:55:11.903531,28.0,42.0
2026-08-24 15:55:13.928386,28.0,42.0
2026-08-24 15:55:15.953357,28.0,42.0
2026-08-24 15:55:17.978250,28.0,42.0
2026-08-24 15:55:20.003104,28.0,42.0
2026-08-24 15:55:22.028119,28.0,42.0
2026-08-24 15:55:24.052961,28.0,42.0
2026-08-24 15:55:26.077874,28.0,42.0
2026-08-24 15:55:28.102731,28.0,42.0
2026-08-24 15:55:30.127786,28.0,42.0
2026-08-24 15:55:32.152560,28.0,42.0
2026-08-24 15:55:34.177484,28.0,42.0
2026-08-24 15:55:36.202397,28.0,42.0
2026-08-24 15:55:38.227438,28.0,42.0
2026-08-24 15:55:40.252197,28.0,42.0
2026-08-24 15:55:42.277134,28.0,42.0
